89,89,89
1,88
89,89
40,1
_:z_1,_:z_4
_:z_5,_:z_7
_:z_0,_:z_9
4,75
_:z_12,_:z_15
66,4
_:z_16,_:z_19
6,64
84,6
7,33
33,7
_:z_26,_:z_29
8,80
_:z_28,_:z_31
86,8
_:z_30,_:z_33
_:z_36,_:z_40
_:z_43,_:z_46
_:z_47,_:z_50
_:z_51,_:z_53
_:z_54,_:z_57
_:z_56,_:z_59
_:z_58,_:z_61
_:z_60,_:z_63
89,_:z_64,89
_:z_62,_:z_66
17,90
_:z_65,_:z_67
44,17
18,30
89,_:z_34,89
46,18
_:z_71,_:z_73
89,_:z_23
_:z_20,_:z_48
_:z_45,_:z_42
89,_:z_35
89,_:z_72
89,_:z_74
_:z_37,_:z_75
89,17
89,_:z_69
89,_:z_77
89,_:z_78,89
89,_:z_80
_:z_79,_:z_81
_:z_8,_:z_83
_:z_82,_:z_84
89,70
_:z_32,_:z_85
89,_:z_86,89
_:z_22,_:z_88
89,_:z_89,89
89,44
_:z_87,_:z_91
29,32
_:z_90,_:z_92
30,29
_:z_38,_:z_93
30,77
_:z_76,_:z_95
85,30
89,_:z_97
89,30
_:z_96,_:z_99
_:z_98,_:z_101
89,_:z_102,89
32,7
89,_:z_104
89,32
_:z_103,_:z_106
33,89
_:z_105,_:z_108
89,_:z_18,89
32,33
_:z_107,_:z_110
89,_:z_64
_:z_109,_:z_111
_:z_13,_:z_24
_:z_21,_:z_41
35,39
_:z_25,_:z_112
64,35
_:z_49,_:z_114
89,92
_:z_113,_:z_115
89,_:z_34
_:z_27,_:z_44
38,87
_:z_2,_:z_52
89,38
_:z_3,_:z_116
39,89
_:z_17,_:z_117
96,39
_:z_68,_:z_55
40,45
_:z_39,_:z_70
77,40
_:z_14,_:z_10
