QBCRGNATHR,VNrd12154,NOSS26840,395,1.0
JRRVCYLTKX,DNig39858,NNRT76739,148,1.0
ASLQVTFUYO,YQqy38878,POSR67397,222,1.0
KNEJILYUEZ,GOtz14046,OMTR66555,104,1.0
ALLNDPWREI,JJhp66345,NNTS09217,379,1.0
UPVCRJIHQX,JBnn42856,POQR18950,304,1.0
HGRHDFGJHM,CDfx61210,MOTS18877,298,1.0
BPDOEZFOVN,XRox78073,OMQR85574,22,1.0
EDHQLCHVQY,JVyg67610,MNQS74740,472,1.0
EVUAKZLMRP,QLqv54677,OORS81030,191,1.0
TUCEVKPPCJ,JFma06385,ONRT84143,130,1.0
HPJIWJGZVE,OOxu29859,OPSQ82194,67,1.0
RJWQMIBRAI,PQil39325,OOQT40404,70,1.0
HKOJBSADUC,WYhm37266,OMTQ59969,314,1.0
DLREIIYTMY,TFmd28518,MMST83295,258,1.0
CDJKHWNKLQ,MZtm96402,OOQT62568,338,1.0
LZNSNGSGAU,GGrb67929,OPRQ70973,306,1.0
RVARAHEFWU,ZCqz27378,PNRR89811,281,1.0
HISDTWMGIJ,SLro05288,PNQS20936,94,1.0
BEQKUMHNUG,TRtf85869,NORQ27685,278,1.0
IMMNOUHBQP,EIri12721,PMST21010,346,1.0
CDYXLBPIWY,RGpt27938,NMRT68981,176,1.0
UBXFJDGOGQ,VUql49464,PNRQ58546,155,1.0
UKXZDGRNRS,VSxd92050,OPSS54691,351,1.0
BKKHIMCYDM,PKte80238,PPRQ27984,12,1.0
TFSHILQSNA,MUll18765,NOSQ98317,99,1.0
BYYTHKFRWF,JXcz32235,NORS90867,14,1.0
AFDSVXFVXG,TJiy10083,PNSS59167,476,1.0
JBLZPLOTNY,MJrw38205,OOSR28664,285,1.0
JWJIAGPQNF,RQvo78778,OPRQ46983,123,1.0
NTVWYZKFVK,BAnz02290,OOQR49802,364,1.0
AUARXGEPTA,HRrt68319,ONRT21738,152,1.0
KSKHNLTUMJ,WClb44136,POQS15120,239,1.0
AMHXLTUAVC,TDil18329,PNTT19097,421,1.0
DQZOHQDTDE,WYyw39578,NPTR09142,6,1.0
TOMRSPAJFU,RScs57452,OOTR42586,241,1.0
VMNNQZQHAC,DObo60257,OPTR01237,284,1.0
NUUGGYAATQ,JXjh69939,POQS00799,182,1.0
RRIWWGOZGK,TAbn29212,OOTT66939,475,1.0
RQJNVEENHT,KUpx57733,OPRQ37389,398,1.0
BCLTIRTROL,VPpx29567,OOQQ78353,361,1.0
DKOQBHCYBB,MJxf39011,MNSQ61632,302,1.0
VXFZFMDLBC,DLts67209,PPSS41872,171,1.0
JFVFQLPUHJ,AHdp24023,NNTS47215,199,1.0
YRAFYEBEWM,UFmh90387,NOTQ38820,82,1.0
STEFYIWSHU,YGci93414,ONSS74609,234,1.0
UZDSEPQMVW,XZjl48897,PMRQ75209,325,1.0
PHOZLXPMNJ,WDdk38921,PNRQ38822,19,1.0
GMJVUNGEAW,VBlw62330,NNSS42046,206,1.0
YXBERHSXYM,NPls07051,NNRT40683,360,1.0
EKMVVUNIBL,AIay57233,OORS07466,170,1.0
SWJFOWUXGP,NOzt32602,MPRS76650,200,1.0
YPNVFCDLFC,XUtm56945,NNRT18078,172,1.0
