89,89,89
1,88,_:z_1
40,1,_:z_5
_:z_1,_:z_4,_:z_0
_:z_5,_:z_7,_:z_12
_:z_0,_:z_9,_:z_16
4,75,_:z_26
_:z_12,_:z_15,_:z_28
66,4,_:z_30
_:z_16,_:z_19,_:z_36
6,64,_:z_43
84,6,_:z_47
7,33,_:z_51
33,7,_:z_54
_:z_26,_:z_29,_:z_56
8,80,_:z_58
_:z_28,_:z_31,_:z_60
86,8,_:z_62
89,_:z_64,89
_:z_30,_:z_33,_:z_65
89,_:z_34,89
_:z_36,_:z_40,_:z_71
_:z_43,_:z_46,_:z_20
_:z_47,_:z_50,_:z_45
_:z_51,_:z_53,_:z_37
89,_:z_78,89
_:z_54,_:z_57,_:z_79
_:z_56,_:z_59,_:z_8
_:z_58,_:z_61,_:z_82
_:z_60,_:z_63,_:z_32
_:z_62,_:z_66,_:z_22
89,_:z_86,89
17,90,_:z_87
89,_:z_89,89
_:z_65,_:z_67,_:z_90
44,17,_:z_38
18,30,_:z_76
46,18,_:z_96
_:z_71,_:z_73,_:z_98
89,_:z_102,89
89,89,_:z_103
89,_:z_23,_:z_105
_:z_20,_:z_48,_:z_107
89,_:z_18,89
_:z_45,_:z_42,_:z_109
89,_:z_35,_:z_13
89,_:z_72,_:z_21
89,_:z_74,_:z_25
_:z_37,_:z_75,_:z_49
89,17,_:z_113
89,_:z_69,_:z_27
89,89,_:z_2
89,_:z_77,_:z_3
89,_:z_80,_:z_17
_:z_79,_:z_81,_:z_68
_:z_8,_:z_83,_:z_39
_:z_82,_:z_84,_:z_14
89,70,_:z_6
