YQPNBNWJSZ,QCtc01372,MPRQ62548,347,1.0
SYUHBLOKSC,KErv52891,MORS71695,53,1.0
SAVCUDMAHK,MJqj58718,PMTT72776,135,1.0
RMVUPKFMQO,RCab59980,PORQ23270,129,1.0
YMQYDUTAIQ,YUxq13112,POQR59354,386,1.0
FEQLHWRONC,NSoi84339,PPQS84441,394,1.0
IYLZZCPIWN,QLls49028,PMSQ90693,65,1.0
MYFSATFRSW,CNvl66776,OOQR29727,205,1.0
HODFKLUVHG,GUds25955,MOQR81006,82,1.0
WWKVNFADSE,DMow47503,NNSR20570,228,1.0
UOIDEJQWDZ,KZai09091,PPQS04152,99,1.0
WXASPJEZXK,HRex66459,NNRR21899,496,1.0
NCJRHXSYWO,SZmf49017,OMRT96938,403,1.0
NNLNIQRSRW,AFhs93434,PMSQ23691,3,1.0
LJCILIZTFJ,IYjm68485,OPTQ48410,49,1.0
CJFQRBJPYW,WRau25831,OMQS09923,69,1.0
BNWVOPNTMJ,XXiy05389,ONQQ27420,246,1.0
JVMBQDLXFD,TLbp13309,PPTS37212,207,1.0
VBRLQPZVEZ,LFvt13598,OMQQ93823,493,1.0
EORYWZBEZN,CJje22950,OOSQ99518,277,1.0
UGAGYBCNTE,UTbh94892,PMQQ70454,364,1.0
CWKMCJXVLL,PYbb39527,MNSQ74825,94,1.0
MOLNBJWMIL,IJzn90185,ONTT45346,374,1.0
FAHEIAVSIZ,MNqj36107,OMTT46792,32,1.0
TWFMOMQOZK,HEkg47531,NMQQ87047,258,1.0
JYMUHFKWJS,IUmi21356,PNTR64743,487,1.0
NVLHPYDPHS,VJtj12780,NOQR28310,234,1.0
YTTQKMANOG,EKgv18057,OPSS02852,250,1.0
SNWCFBGYAU,NNwi14000,PNST61813,63,1.0
FYXXLRXKDR,JUct47331,PNQQ72094,128,1.0
SYIBVVLZCI,ABat77116,MNTT95130,108,1.0
BCRRFZIAUT,UDqc25928,NPQQ12659,243,1.0
EVUSDHMLEY,POik44563,OPTT26052,96,1.0
MRNOKWLALT,HSax79036,ONSS88558,214,1.0
GADUYMEKUQ,CDpt59074,NPRS00022,43,1.0
EKHBGVBLNN,GHcy22078,MNSQ29688,363,1.0
UPUKTUDGRK,EVdz68169,NORQ97244,167,1.0
SCJLKSFMGS,TJtj98176,NOQR34109,366,1.0
IRNRTWCRMN,OQzd39784,ONSR60590,290,1.0
CBAGNXFSRT,NJpo63127,PNRS30351,220,1.0
IXXKCBVKDZ,BLtp69871,OMTS94584,427,1.0
EBTCQTMWTM,JPfu92690,PMST92325,327,1.0
MUPYEJFWCA,OKts81931,OOTQ34634,465,1.0
HRMRELFPDC,KYnu31662,MOQR88992,326,1.0
QRYYIFOYTB,KFow54460,NNSR14756,376,1.0
EEPFPRQUGK,AZer35107,MPTQ74457,404,1.0
TEOAUGTAUW,RClh26119,MNQT03751,182,1.0
HCUVNSMXQJ,BMpg65544,OOQR83030,340,1.0
MBUZEPQEUD,OFup13420,MNQQ28082,438,1.0
CFAHZBQNFG,EWwz75525,PMQT08110,449,1.0
APUDUQWRZW,ROhi95258,PPRT51954,223,1.0
PTASDLERGM,NFxh76573,MPQQ83039,446,1.0
TNVTCGMWAJ,IByd29669,OMRR40479,107,1.0
ZLWBVOYTKA,YBsh77894,OORR81853,264,1.0
MIQMKWBRAO,JCob13606,OPQT54460,461,1.0
IJVVAEPMLL,PLwq75800,OMTQ47092,273,1.0
RLIXICAQSM,GYgu46879,NNTQ86383,309,1.0
EFZONWHGUV,ZAsl94573,OPTR63938,395,1.0
HFLWDJABDO,SFus36896,OMTQ05086,145,1.0
DZNHIZVDTW,DTht25731,MOSS67023,259,1.0
YWHLROTCGO,ISub54421,NMSR77069,474,1.0
KEHKIFVNRI,AZhl09814,NNSR52134,263,1.0
AIIBESUTHA,MCiz43821,MMTT39474,60,1.0
MBJGVDADBC,TFrl79744,NPRS07594,90,1.0
VUQZAEBLOD,JXvz81883,OOSQ87395,303,1.0
NCQCNNROHE,UEhc89933,MOQT33098,100,1.0
FYYNMCBCPN,AYxk28850,MNRS63333,16,1.0
TQVOIBOZSU,VYer68351,ONQS55350,126,1.0
RYFMBENMQM,QNtn38267,PMQQ09521,252,1.0
KBIZEKXWYO,GDyg08770,PPRQ94905,54,1.0
IFUQPKOEAL,WNsy23311,POTT67012,445,1.0
ZPLDSQLSLV,LMyk49945,MPTR75606,450,1.0
VGXJQQIOXO,MCsf14194,OPTT47519,415,1.0
FHRHLCKRUH,HEfo80735,NPRR64238,85,1.0
TGJIGRASOF,TTvp64013,NPRS14102,72,1.0
CUSHEFDCUX,SGui85948,OOSS50187,150,1.0
RBGACCKDKC,LVxk21882,NMST02544,270,1.0
UDVBLRNKBC,KOra47131,NOTT02289,97,1.0
PPVZYIYZZT,BZtt49417,MPRQ72372,254,1.0
HVADAWCMZI,IEql71401,MMTR96245,230,1.0
DAFCGVYHAP,DQlr38929,POTR45527,203,1.0
PAIASSKVEK,GXcn34435,NNTQ87149,442,1.0
ERQSCHKBYC,KRca17087,PNRR32367,458,1.0
RWRPQTDQBT,TYdj92122,NOTQ88872,62,1.0
OYHEYWQEMK,CNug72705,PNTT42575,299,1.0
JXJXIYKIOE,QNti62424,MPTR92697,321,1.0
KYBVODCGPB,YTje90171,MNQT44100,448,1.0
